Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
ADMINISTRACAO;"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"ADMINISTRACAO GERAL";8.505.417,92;8.298.711,12;8.201.655,95
EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ADMINISTRACAO GERAL";14.975.901,53;9.576.170,28;9.571.437,96
ADMINISTRACAO;"FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO - PRIVADAS DE MINAS GERAIS";"ADMINISTRACAO DE CONCESSOES";294.065.993,38;252.103.046,47;244.038.711,39
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DESPORTO DE RENDIMENTO";1.884.562,47;1.884.562,47;1.586.562,47
CULTURA;"EMPRESA MINEIRA DE COMUNICACAO";"DIFUSAO CULTURAL";7.389.979,36;7.389.979,36;7.389.979,36
"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"DEFESA CIVIL";12.361.578,73;9.918.880,53;6.762.759,90
EDUCACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ENSINO PROFISSIONAL";4.345.601,84;2.852.102,83;2.850.102,87
HABITACAO;"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"HABITACAO URBANA";7.000.000,00;7.000.000,00;7.000.000,00
SAUDE;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";6.782.744,22;6.338.149,71;5.159.542,79
TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"TRANSPORTE RODOVIARIO";627.502,19;625.382,14;625.382,14
EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ENSINO FUNDAMENTAL";8.313.035,44;7.146.654,00;7.091.141,10
SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";21.817.523,54;21.718.024,68;21.716.921,49
