Funcao;Orgao;Subfuncao;Valor Empenhado;Valor Liquidado;Valor Pago
SAUDE;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;ASSISTENCIA HOSPITALAR E AMBULATORIAL;1.240.625.618,29;1.054.730.019,73;1.030.253.360,38
SAUDE;FUNDO ESTADUAL DE SAUDE;ACAO JUDICIARIA;519.390.472,54;436.567.230,65;413.420.671,39
CIENCIA E TECNOLOGIA;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO;93.699.176,29;82.825.311,89;82.860.980,92
ADMINISTRACAO;INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS;ADMINISTRACAO GERAL;6.785.627,43;6.098.334,08;5.818.626,30
ADMINISTRACAO;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;ADMINISTRACAO GERAL;21.874.536,57;21.764.781,53;21.451.480,36
SAUDE;FUNDACAO EZEQUIEL DIAS;ADMINISTRACAO GERAL;46.259.076,32;44.138.064,16;43.097.970,90
CIENCIA E TECNOLOGIA;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;ADMINISTRACAO GERAL;18.046.813,64;16.902.608,92;15.919.377,67
AGRICULTURA;INSTITUTO MINEIRO DE AGROPECUARIA;DEFESA AGROPECUARIA;66.789.802,65;65.178.611,81;65.070.432,79
TRABALHO;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;FOMENTO AO TRABALHO;16.790.640,52;10.783.025,86;10.632.264,65
SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;POLICIAMENTO;62.113.220,40;59.317.935,33;51.385.938,30
CULTURA;INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS;DIFUSAO CULTURAL;478.375,17;476.047,92;476.220,82
GESTAO AMBIENTAL;FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M;RECURSOS HIDRICOS;2.387.964,01;2.299.696,61;2.078.247,60
SAUDE;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;CUSTODIA E REINTEGRACAO SOCIAL;150.766.149,70;131.762.529,81;129.994.252,14
EDUCACAO;FUNDACAO HELENA ANTIPOFF;ENSINO MEDIO;6.202.366,10;6.189.953,61;6.189.953,61
INDUSTRIA;PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS;PRODUCAO INDUSTRIAL;320.669.214,44;320.669.214,44;320.669.214,44
EDUCACAO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;ENSINO FUNDAMENTAL;129.564.117,90;129.373.122,92;129.082.412,81
ADMINISTRACAO;SECRETARIA DE ESTADO DE FAZENDA;TECNOLOGIA DA INFORMACAO;127.036.527,11;99.421.555,00;90.673.535,03
ADMINISTRACAO;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;ADMINISTRACAO FINANCEIRA;853.890.314,95;294.040.497,30;294.025.258,98
ADMINISTRACAO;PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS;ADMINISTRACAO FINANCEIRA;240.395.140,74;97.509.823,76;97.509.823,76
ENCARGOS ESPECIAIS;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;OUTROS ENCARGOS ESPECIAIS;10.147.972.811,00;9.983.653.778,19;9.983.653.778,19
