Ano;Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
2023;"ASSISTENCIA SOCIAL";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";3.033.112,90;3.013.697,49;2.958.124,26
2023;SAUDE;"FUNDACAO EZEQUIEL DIAS";"SUPORTE PROFILATICO E TERAPEUTICO";251.292.011,05;139.116.737,95;77.840.279,41
2023;"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE CULTURA E TURISMO";TURISMO;817.300,00;317.300,00;305.435,00
2023;EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO FUNDAMENTAL";5.844.256.087,72;5.816.735.388,83;5.801.300.827,74
2023;AGRICULTURA;"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"PROMOCAO DA PRODUCAO AGROPECUARIA";4.632.943,70;494.209,42;494.277,67
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"TECNOLOGIA DA INFORMACAO";21.056.548,50;17.262.607,81;14.694.371,54
2023;EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO BASICA";1.612.820.577,32;1.268.957.485,61;1.173.023.817,83
2023;"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";199.555.847,03;189.058.311,21;187.444.539,66
2023;SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"VIGILANCIA EPIDEMIOLOGICA";365.000,00;236.000,00;225.380,00
2023;"ENCARGOS ESPECIAIS";"INSTITUTO ESTADUAL DE FLORESTAS";"OUTROS ENCARGOS ESPECIAIS";922.104,49;823.933,01;778.750,03
2023;URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"ORDENAMENTO TERRITORIAL";3.428.675,42;2.195.950,74;2.183.621,61
2023;"COMERCIO E SERVICOS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";20.553.222,33;18.169.509,31;17.919.992,34
2023;ADMINISTRACAO;"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"ADMINISTRACAO GERAL";4.622.836,28;4.386.696,26;4.304.507,79
2023;ADMINISTRACAO;"FUNDACAO CLOVIS SALGADO";"ADMINISTRACAO GERAL";11.161.297,81;10.297.139,41;9.588.712,58
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ADMINISTRACAO GERAL";25.489.716,46;25.292.719,24;24.899.023,57
2023;ADMINISTRACAO;"CONTROLADORIA-GERAL DO ESTADO";"ADMINISTRACAO GERAL";5.893.958,92;5.759.414,41;5.630.425,90
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DA CASA CIVIL";"ADMINISTRACAO GERAL";2.227.268,34;1.999.440,56;1.997.103,01
2023;ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"ADMINISTRACAO GERAL";11.403.583,42;11.010.155,13;10.945.295,01
2023;ADMINISTRACAO;"FUNDO FINANCEIRO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";8.077.372,52;5.435.277,67;4.976.093,15
2023;SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";50.575.884,22;37.583.427,59;34.532.138,22
2023;"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";POLICIAMENTO;3.605.098.693,83;3.520.945.607,05;3.490.059.506,39
2023;CULTURA;"FUNDACAO DE ARTE DE OURO PRETO";"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO";121.213,08;111.869,87;111.869,87
2023;"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";16.369.994,85;16.192.956,31;16.139.095,25
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"PLANEJAMENTO E ORCAMENTO";11.083.803,51;10.686.560,98;10.620.229,10
2023;CULTURA;"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";TELECOMUNICACOES;5.521.239,68;5.093.487,20;5.074.799,07
2023;"CIENCIA E TECNOLOGIA";"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"DESENVOLVIMENTO CIENTIFICO";43.617.231,83;43.617.231,83;43.617.231,83
2023;URBANISMO;"SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS";"INFRA-ESTRUTURA URBANA";273.989.376,90;231.666.234,44;218.564.862,35
2023;SAUDE;"FUNDO ESTADUAL DE SAUDE";"VIGILANCIA EPIDEMIOLOGICA";256.603.625,57;217.887.680,55;213.513.112,05
2023;"ENCARGOS ESPECIAIS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";1.300.936,53;1.300.936,53;1.275.512,73
2023;ADMINISTRACAO;"INSTITUTO MINEIRO DE AGROPECUARIA";"ADMINISTRACAO GERAL";125.188.612,19;122.456.836,60;122.241.385,15
2023;ADMINISTRACAO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"ADMINISTRACAO GERAL";2.000.261,88;1.930.946,21;1.884.981,64
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE GOVERNO";"ADMINISTRACAO GERAL";522.426.530,01;502.974.099,98;500.976.858,10
2023;ADMINISTRACAO;"ADVOCACIA GERAL DO ESTADO";"ADMINISTRACAO GERAL";34.177.740,74;32.580.742,72;32.365.741,52
2023;EDUCACAO;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";621.461,90;438.550,61;437.065,24
2023;"ASSISTENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ASSISTENCIA COMUNITARIA";921.564,00;806.844,10;806.844,10
2023;AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"RECURSOS HIDRICOS";2.371.162,26;2.292.946,49;2.178.073,94
2023;"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"ENERGIA ELETRICA";446.604,28;443.658,23;443.405,48
2023;"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ALIMENTACAO E NUTRICAO";1.728.751,75;1.074.867,33;1.076.546,24
2023;ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"PLANEJAMENTO E ORCAMENTO";17.610.488,02;16.963.683,87;16.920.625,34
2023;EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ENSINO PROFISSIONAL";7.669.536,75;5.818.760,99;5.208.009,45
2023;"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";22.056.715,68;21.644.376,46;21.402.330,40
2023;TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS";"TRANSPORTE FERROVIARIO";470.156.273,05;81.032.769,87;81.032.769,87
2023;AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"PROMOCAO DA PRODUCAO AGROPECUARIA";77.008.452,74;65.290.546,31;65.182.898,87
